iteration,convergenceIndicator,phase,Base_pop,EC50_pop,Emax_pop,gamma_pop,omega_Base,omega_EC50,omega_Emax,omega_gamma,a,b
200,12368.4,1,55.6584,512.444,0.876707,2.74227,0.52024,0.546605,0.0679539,0.393976,1.14662,0.199974
201,12382.7,1,55.4073,517.295,0.877544,2.83574,0.507067,0.564811,0.0691108,0.384001,0.967814,0.208487
202,12419.2,1,55.4456,516.693,0.876446,2.85093,0.502813,0.579142,0.0673608,0.391206,0.891103,0.212135
203,12392.4,1,55.7169,517.272,0.879612,2.84058,0.508938,0.564478,0.0656552,0.383638,0.959766,0.210453
204,12333.9,1,55.7326,500.274,0.884397,2.73133,0.505733,0.550185,0.0639928,0.373924,0.967481,0.21191
205,12399.2,1,55.6913,517.09,0.880202,2.64272,0.501776,0.557072,0.0682343,0.381464,0.970351,0.212231
206,12387.4,1,55.6211,514.27,0.882573,2.64787,0.493647,0.553242,0.0673819,0.382134,1.00578,0.21071
207,12401.9,1,55.4876,519.251,0.886335,2.73783,0.494129,0.541697,0.0656757,0.381468,0.911927,0.216814
208,12383.9,1,55.0537,526.761,0.88591,2.68054,0.482443,0.549707,0.0649676,0.371809,0.835522,0.218552
209,12344.3,1,55.0398,530.763,0.884766,2.75123,0.489524,0.561878,0.0633226,0.366397,1.0549,0.209607
210,12314.7,1,55.6286,520.266,0.884983,2.83072,0.489069,0.572243,0.0617192,0.35712,1.05747,0.209843
211,12312,1,55.6562,506.315,0.879352,2.75775,0.476685,0.557753,0.0631854,0.348077,1.02569,0.212102
212,12324.4,1,55.6525,494.048,0.872649,2.7815,0.485489,0.543631,0.061955,0.339264,1.145,0.206373
213,12302.1,1,56.0362,496.034,0.873582,2.77568,0.489147,0.536915,0.0603863,0.364911,1.19857,0.201505
214,12351.5,1,56.3808,492.847,0.875607,2.76211,0.481015,0.562861,0.0618688,0.361187,1.21908,0.202159
215,12344.5,1,55.7062,504.898,0.873243,2.75895,0.495957,0.550395,0.0615695,0.369244,1.14324,0.204156
216,12438.2,1,55.994,491.906,0.871869,2.83002,0.513232,0.536459,0.0652878,0.379773,1.11059,0.208298
217,12446.8,1,56.0079,505.976,0.876064,2.72661,0.500236,0.537648,0.0717034,0.370157,1.18838,0.204937
218,12370,1,55.5724,511.505,0.882488,2.69842,0.507996,0.524035,0.0707153,0.371549,1.08606,0.206552
219,12339.6,1,55.8991,524.123,0.885875,2.71485,0.50092,0.518687,0.0689247,0.375039,1.07741,0.206913
220,12427.5,1,55.6771,507.662,0.883724,2.79581,0.50791,0.553986,0.0673833,0.383095,1.16731,0.20556
221,12443.2,1,55.1641,503.946,0.886338,2.80382,0.508344,0.545537,0.067642,0.373395,1.12537,0.211638
222,12467.3,1,55.6517,502.262,0.881267,2.81051,0.506852,0.547384,0.0698317,0.379441,1.11108,0.209395
223,12355.1,1,55.9851,487.844,0.882478,2.7034,0.498998,0.548326,0.0680635,0.378043,1.10925,0.205127
224,12390.3,1,55.5689,491.518,0.881065,2.68505,0.500126,0.550911,0.0706038,0.378958,1.01884,0.208051
225,12468.8,1,55.3354,497.785,0.876488,2.7506,0.517071,0.561734,0.0689007,0.389112,0.87113,0.215836
226,12403.6,1,54.8732,518.178,0.881645,2.71618,0.503979,0.558499,0.0671561,0.384263,0.985864,0.212358
227,12353.7,1,55.0788,505.568,0.885876,2.64601,0.497957,0.544357,0.0667344,0.391284,0.860737,0.214055
228,12336.9,1,55.3458,515.9,0.880721,2.70296,0.486215,0.549819,0.0660297,0.381376,0.93052,0.210923
229,12331.4,1,55.7986,512.911,0.881935,2.76428,0.488077,0.555895,0.0643578,0.371719,0.930893,0.211856
230,12431.1,1,56.0496,506.717,0.88467,2.71936,0.495437,0.563916,0.0648089,0.376109,1.00276,0.21327
231,12388.8,1,56.0445,497.014,0.891019,2.71946,0.500077,0.57037,0.0631679,0.383095,1.01477,0.211587
232,12384.5,1,56.0697,506.139,0.890696,2.70388,0.488987,0.580397,0.0635515,0.403121,0.998165,0.208476
